"Nr";"Restaurant";"Kategorier";"Wolt URL";"Address";"Phone Number";"Contact Source";"Note"
"129";"Espresso House Lyngby";"sandwich, breakfast, cafe";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/espresso-house-lyngby";"Lyngby Hovedgade 49, 2800 Kongens Lyngby";"+45 21 49 08 64";"Google Places";""
"130";"Det Sunde Køkken Lyngby";"sandwich, salad";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/det-sunde-kokken-lyngby";"Lyngby Hovedgade 76, 2800 Kongens Lyngby";"+45 45 87 87 50";"Google Places";""
"131";"Hestkøbgaard Cafe & Bistro";"sandwich, cafe";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/hestekbsgaard-cafe-bistro";"Hestkøb Vænge 4, 3460 Birkerød";"+45 70 60 20 88";"Google Places";""
"132";"OLIOLI Lyngby";"salad";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/olioli-lyngby";"Lyngby Hovedgade 74, 2800 Kongens Lyngby";"+45 33 21 01 21";"Google Places";""
"133";"Subway Lyngby Storcenter";"salad";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/subway-lyngby-storcenter";"Lyngby Storcenter 1, 2800 Kongens Lyngby";"+45 80 88 55 73";"Google Places";""
"134";"Royal Bagel Corner";"salad";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/royal-bagel-corner";"Gammel Bagsværdvej 22, 2800 Kongens Lyngby";"+45 45 87 87 49";"Google Places";""
"135";"Deli Shoppen Catering";"salad";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/deli-shoppen-catering";"Not found – manual check needed";"Not publicly listed";"Wolt listing only – not verified";"no reliable match (query returned Det Sunde Køkken)"
"136";"GRØD Lyngby";"vegan, vegetarian";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/grd";"Likørstræde 5, 2800 Kongens Lyngby";"+45 93 10 80 45";"Google Places";""
"137";"La Vecchia Enoteca";"vegan, vegetarian, italian";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/la-vecchia-enoteca";"Søengen 1, 2840 Holte";"+45 45 42 22 42";"Google Places";""
"138";"MAUI POKE Catering";"vegan, vegetarian";"https://wolt.com/en/dnk/copenhagen/restaurant/maui-poke-catering";"Nordre Frihavnsgade 57, 2100 København";"+45 30 49 89 16";"Google Places";""
"139";"RizRaz Catering";"vegan, vegetarian";"https://wolt.com/en/dnk/copenhagen/restaurant/rizraz-catering";"Store Kannikestræde 19, 1169 København";"+45 33 15 05 75";"Google Places";""
"140";"Veganna Catering";"vegan, vegetarian";"https://wolt.com/en/dnk/copenhagen/restaurant/veganna-catering";"Strandmarksvej 21, 2650 Hvidovre";"+45 40 58 33 03";"Google Places";""
"141";"Mad Udefra Catering";"vegetarian";"https://wolt.com/en/dnk/ballerup-herlev/restaurant/madudefra-catering";"Herlev Hovedgade 104, 2730 Herlev";"+45 71 20 81 20";"Google Places";"Places lists this as ""Madudefra"" – confirm same venue"
"142";"Kragerup & Ko Catering";"vegetarian";"https://wolt.com/en/dnk/copenhagen/restaurant/kragerup-ko-catering";"Not found – manual check needed";"Not publicly listed";"Wolt listing only – not verified";""
"143";"Tapas & More Catering";"vegetarian, dessert";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/tapas-more-catering";"Not found – manual check needed";"Not publicly listed";"Wolt listing only – not verified";""
"144";"Godteposer";"dessert";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/godteposerr";"Farum Hovedgade 27, 3520 Farum";"+45 44 95 55 44";"Google Places";""
"145";"Bakery By Hermann Catering";"dessert";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/bakery-by-hermann-catering";"Nærum Hovedgade 70, 2850 Nærum";"+45 53 50 06 27";"Google Places";""
"146";"Desserthuset - Catering";"dessert";"https://wolt.com/en/dnk/copenhagen/restaurant/desserthuset-catering";"Not found – manual check needed";"Not publicly listed";"Wolt listing only – not verified";""
"147";"Spizz Smørrebrød Catering";"dessert";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/smrrebrd-canapeer-catering";"Gladsaxevej 130, 2860 Søborg";"+45 70 60 86 00";"Google Places";"central catering kitchen in Søborg, not a Lyngby venue"
"148";"MADE Rungsted Havn";"breakfast, cafe";"https://wolt.com/en/dnk/hoersholm-rungsted/restaurant/made-rungsted-havn";"Not found – manual check needed";"Not publicly listed";"Wolt listing only – not verified";""
"149";"Mad Udefra Brunch Catering";"breakfast";"https://wolt.com/en/dnk/ballerup-herlev/restaurant/madudefra-brunch-catering";"Herlev Hovedgade 104, 2730 Herlev";"+45 71 20 81 20";"Google Places";"same central kitchen as nr 141"
"150";"Cheeky Chicken Frederiksborgvej";"chicken";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/cheeky-chicken-frederiksborgvej";"Not found – manual check needed";"Not publicly listed";"Wolt listing only – not verified";""
"151";"Cheeky Chicken Langhaven";"chicken";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/cheeky-chicken-langhaven";"Not found – manual check needed";"Not publicly listed";"Wolt listing only – not verified";""
"152";"Spizz Italiensk Catering";"italian";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/spizz-italiensk-catering";"Gladsaxevej 130, 2860 Søborg";"+45 70 60 86 00";"Google Places";"same Spizz central kitchen as nr 147"
